user_id,Username,anime_id,Anime Title,rating
1,Xinil,21,One Piece,9
20,vondur,21,One Piece,9
23,Amuro,21,One Piece,7
67,ShadowOz,21,One Piece,8
70,Cruzle,21,One Piece,8
81,Ramp,21,One Piece,9
83,jaames,21,One Piece,9
88,wicked2k,21,One Piece,10
91,marvin_9martian,21,One Piece,10
95,sorairo,21,One Piece,1
110,happykawaiibunny,21,One Piece,8
112,luffykun,21,One Piece,10
114,bluecc,21,One Piece,7
116,loklo,21,One Piece,9
119,Phony2,21,One Piece,8
120,hazte,21,One Piece,10
124,Torstein,21,One Piece,5
133,Ritsuka,21,One Piece,10
138,DanskiJonez,21,One Piece,10
143,Rukia,21,One Piece,9
157,KobaKoba,21,One Piece,7
163,Holzy,21,One Piece,10
185,Fador,21,One Piece,10
208,Arinohyoshi,21,One Piece,9
224,modious,21,One Piece,9
229,sugaryfluff,21,One Piece,7
255,Sneaker,21,One Piece,10
274,flink,21,One Piece,8
277,ReKKu,21,One Piece,10
297,Muda,21,One Piece,6
310,Chazist,21,One Piece,7
312,Zylix,21,One Piece,8
317,killer04,21,One Piece,8
333,db,21,One Piece,8
336,Skyw4lker,21,One Piece,9
346,zbarron,21,One Piece,10
353,Niccole,21,One Piece,10
356,iglified,21,One Piece,10
357,zhambi,21,One Piece,7
363,Hiyomika,21,One Piece,9
368,Masterface7,21,One Piece,10
375,Aiko,21,One Piece,10
376,s0kkiplast,21,One Piece,10
380,Kikyo,21,One Piece,9
384,Rie,21,One Piece,10
396,Sources,21,One Piece,6
399,roarg,21,One Piece,10
405,algalordvk,21,One Piece,10
407,KingKogs,21,One Piece,10
415,Valaris,21,One Piece,8
422,Ewino,21,One Piece,9
424,Yamishimo,21,One Piece,10
425,djc89,21,One Piece,9
428,NoeinHOLiC,21,One Piece,9
429,Karatekatten,21,One Piece,10
431,izikiel,21,One Piece,9
433,SleepySmore,21,One Piece,10
434,Gaignun87,21,One Piece,10
450,MO2J,21,One Piece,10
460,Fehrant,21,One Piece,7
467,June,21,One Piece,10
475,Ducky,21,One Piece,10
476,TheRedSpade,21,One Piece,10
480,Sync,21,One Piece,10
482,midnightq2,21,One Piece,7
492,Tasura,21,One Piece,8
499,cyborg,21,One Piece,9
504,JusticeGundam,21,One Piece,10
506,Expression,21,One Piece,8
507,slush,21,One Piece,10
508,Dawlight,21,One Piece,10
512,Champloon,21,One Piece,8
524,starwind,21,One Piece,9
527,wildinferno16,21,One Piece,10
545,mugiwara-,21,One Piece,10
558,zanmato666,21,One Piece,10
559,Gyad,21,One Piece,8
561,Ishiyumi,21,One Piece,8
574,Kirox,21,One Piece,6
590,draiol,21,One Piece,5
591,darthhowie,21,One Piece,9
595,VnTB,21,One Piece,6
596,TatsubeiYagyu,21,One Piece,10
598,Braveone,21,One Piece,6
607,Lord_Vegita,21,One Piece,9
608,kittenbitten,21,One Piece,8
609,Canal,21,One Piece,7
612,Rekka,21,One Piece,9
614,fluffyanimals,21,One Piece,2
616,Darki,21,One Piece,9
618,flo,21,One Piece,10
634,Deithwen,21,One Piece,5
636,Rampage202,21,One Piece,9
648,Mumei,21,One Piece,9
651,Artic,21,One Piece,10
658,Gemelle,21,One Piece,4
661,denkosensei,21,One Piece,8
682,zonnikku,21,One Piece,8
683,Phate,21,One Piece,8
691,Amy,21,One Piece,6
713,demiotaku,21,One Piece,9
720,CoolCly,21,One Piece,10
721,Sayosi,21,One Piece,9
727,sxpeders,21,One Piece,7
728,Wickio,21,One Piece,9
736,DistinctlyBenign,21,One Piece,9
749,AmiYuy,21,One Piece,6
753,tajad0l,21,One Piece,10
760,rubberluffy,21,One Piece,10
761,Silver,21,One Piece,10
766,Locrian,21,One Piece,10
767,alfe,21,One Piece,9
776,lecor,21,One Piece,10
787,kimodameshi,21,One Piece,6
789,cardin,21,One Piece,5
797,Dark_Sage,21,One Piece,7
817,AKIO-NOIR,21,One Piece,9
835,Night_Demon,21,One Piece,10
840,Dragon_Empress,21,One Piece,8
843,Condoriano,21,One Piece,10
852,leginag,21,One Piece,10
869,p2thej115,21,One Piece,10
874,Aaron,21,One Piece,10
886,vrdabomb5717,21,One Piece,7
898,nullcontext,21,One Piece,9
902,Late,21,One Piece,10
908,hitachintwins,21,One Piece,7
914,Vajra,21,One Piece,9
922,scorpedo,21,One Piece,10
925,lizzard,21,One Piece,8
926,thepinkavenger,21,One Piece,5
928,macskeptic,21,One Piece,8
943,itainteazy,21,One Piece,10
954,bitsmart,21,One Piece,10
962,Crospi,21,One Piece,9
964,Spike_Spiegel,21,One Piece,10
971,neamon,21,One Piece,9
979,dreddbull,21,One Piece,9
981,Shadow__,21,One Piece,8
983,VyseN,21,One Piece,10
989,Virems,21,One Piece,9
994,Zicdeh_Cei,21,One Piece,10
997,pinoypetz,21,One Piece,9
999,MasterShredder,21,One Piece,8
1,Xinil,47,Akira,5
4,Crystal,47,Akira,10
70,Cruzle,47,Akira,7
71,Smoka,47,Akira,8
